date,cci_overall,การเมือง,ภัยพิบัติ/โรคระบาด,มาตรการของรัฐ,ราคาน้ำมันเชื้อเพลิง,ราคาสินค้าเกษตร,สังคม/ความมั่นคง,เศรษฐกิจโลก,เศรษฐกิจไทย,cpi,unemployment,policy_rate,import_price,export_price,gdp
2024-01,62.9,,,0.38,0.48875,0.605,0.85,,0.629512195,99.26,1.08,2.5,110.99,109.84,2899023
2024-02,63.8,,,,0.6,,,0,0.590909091,99.48,0.98,2.5,110.89,110.04,2899023
2024-03,63,,,0.8,0.65,0.675,,,0.518484848,99.51,0.98,2.5,111.9,110.33,2899023
2024-04,62.1,,0.2,0.68,0.325714286,0.35,,,0.616341463,100.36,1.1,2.5,113.64,110.64,2694894
2024-05,60.5,,,0.7,0.42,0.36,0.31,0.8,0.555,100.98,1.21,2.5,113.24,110.56,2694894
2024-06,58.9,0.8,,,0.488571429,0.533333333,0.415,,0.61625,100.67,0.93,2.5,113.41,110.53,2694894
2024-07,57.7,0.85,,0.585,0.558333333,0.3675,,,0.490192308,100.86,1.07,2.5,113.43,110.68,2664915
2024-08,56.5,0.566666667,0.2,0.775,0.833333333,0.41,,0.515,0.585636364,100.94,1.1,2.5,112.82,110.68,2664915
2024-09,55.3,0.3,,0.9,,0.32,0.29,,0.593584906,100.84,0.84,2.5,112.34,110.83,2664915
2024-10,56,,,,0.576666667,0.4,,0.6,0.641914894,100.77,0.97,2.25,112.96,110.97,2920669
2024-11,56.9,,,0.7,0.564285714,0.85,,0.45,0.585,100.64,0.94,2.25,112.14,110.64,2920669
2024-12,57.9,0,,0.44,0.6325,0.75,,,0.645641026,100.47,0.78,2.25,112.64,110.76,2920669
2025-01,59,,0.25,0.85,0.675,,,0.55,0.533684211,100.57,0.94,2.25,114.98,110.88,2990539
2025-02,57.8,,0,0.5,0.6,0.5,0,0.5,0.663103448,100.55,0.79,2,115.04,110.94,2990539
2025-03,56.7,,,,0.675,0.7,,0.7,0.545333333,100.35,0.94,2,115,111,2990539
2025-04,55.4,,,,0.85,0.85,,,0.600869565,100.14,1,1.75,114.69,110.94,2770939
2025-05,54.2,,,0.463333333,0.75,,,,0.638571429,100.4,0.83,1.75,114.43,110.95,2770939
2025-06,52.7,0.31,,,0.49,0.62,,,0.577777778,100.42,0.81,1.75,115.93,111.28,2770939
2025-07,51.7,,,,0.833333333,0.25,,0.55,0.581818182,100.15,0.69,1.75,115.98,111.23,2695999
