date,cci_overall,cci_current,cci_future
2011-01,81.5,64.7,86.9
2011-02,80.9,65.3,85.6
2011-03,79.8,64.6,84.3
2011-04,79.6,63.4,84.6
2011-05,80.4,63.0,86.0
2011-06,81.7,63.9,87.4
2011-07,84.1,65.4,90.2
2011-08,83.4,65.0,89.6
2011-09,81.8,63.5,87.8
2011-10,72.4,53.6,79.0
2011-11,71.0,51.5,77.8
2011-12,73.1,52.8,80.4
2012-01,74.2,53.6,81.6
2012-02,75.5,54.8,83.1
2012-03,76.6,55.2,84.4
2012-04,77.6,56.2,85.4
2012-05,77.1,56.8,84.4
2012-06,78.6,58.0,86.0
2012-07,78.1,58.5,85.0
2012-08,77.9,59.7,84.2
2012-09,77.0,59.1,83.1
2012-10,77.8,60.1,83.6
2012-11,79.1,61.4,85.0
2012-12,80.2,62.4,86.1
2013-01,81.7,63.5,87.7
2013-02,84.0,65.6,90.1
2013-03,84.8,66.6,90.8
2013-04,83.7,65.9,89.7
2013-05,82.5,65.0,88.3
2013-06,81.6,64.1,87.3
2013-07,80.3,63.2,85.9
2013-08,79.3,62.5,84.7
2013-09,77.9,61.3,83.2
2013-10,76.6,60.3,81.7
2013-11,75.0,59.2,79.9
2013-12,73.4,57.4,78.4
2014-01,71.5,56.0,76.4
2014-02,69.9,54.5,74.7
2014-03,68.8,53.9,73.4
2014-04,67.8,53.0,72.3
2014-05,70.7,54.7,75.8
2014-06,75.1,57.9,80.9
2014-07,78.2,60.4,84.7
2014-08,80.1,62.0,86.6
2014-09,79.2,61.1,85.8
2014-10,80.1,61.1,87.2
2014-11,79.4,60.0,86.7
2014-12,81.1,61.2,88.7
2015-01,80.4,60.7,87.9
2015-02,79.1,59.8,86.4
2015-03,77.7,58.8,84.9
2015-04,76.6,58.0,83.8
2015-05,75.6,56.8,82.8
2015-06,74.4,55.9,81.5
2015-07,73.4,54.8,80.5
2015-08,72.3,53.9,79.3
2015-09,72.1,52.7,79.8
2015-10,73.4,53.6,81.3
2015-11,74.6,54.5,82.6
2015-12,76.1,55.8,84.3
2016-01,75.5,55.3,83.5
2016-02,74.7,54.7,82.7
2016-03,73.5,53.7,81.5
2016-04,72.7,53.1,80.5
2016-05,72.6,51.9,80.9
2016-06,71.6,51.7,79.5
2016-07,72.5,52.4,80.5
2016-08,73.2,52.3,81.6
2016-09,74.2,53.2,82.7
2016-10,73.1,52.0,81.6
2016-11,72.3,50.8,81.1
2016-12,73.7,52.1,82.5
2017-01,74.5,52.7,83.5
2017-02,75.8,53.8,84.8
2017-03,76.8,54.5,85.9
2017-04,77.0,54.7,86.3
2017-05,76.0,53.7,85.3
2017-06,74.9,52.9,84.1
2017-07,73.9,51.7,83.1
2017-08,74.5,51.6,84.2
2017-09,75.0,50.5,85.5
2017-10,76.7,52.0,87.2
2017-11,78.0,52.8,88.8
2017-12,79.2,53.6,90.2
2018-01,80.0,54.7,90.8
2018-02,79.3,53.8,90.2
2018-03,79.9,54.5,90.8
2018-04,80.9,55.3,91.9
2018-05,80.1,54.4,91.3
2018-06,81.3,55.3,92.5
2018-07,82.2,56.2,93.5
2018-08,83.2,57.2,94.6
2018-09,82.3,56.6,93.6
2018-10,81.3,55.6,92.6
2018-11,80.5,54.3,92.0
2018-12,79.4,53.4,90.8
2019-01,80.7,54.5,92.3
2019-02,82.0,55.7,93.6
2019-03,80.6,54.6,92.0
2019-04,79.2,53.5,90.5
2019-05,77.7,52.3,88.8
2019-06,76.4,51.3,87.4
2019-07,75.0,50.3,85.8
2019-08,73.6,49.1,84.4
2019-09,72.2,47.9,82.9
2019-10,70.7,46.5,81.3
2019-11,69.1,45.2,79.6
2019-12,68.3,45.8,78.1
2020-01,67.3,45.0,76.8
2020-02,64.8,42.7,74.3
2020-03,50.3,33.6,58.2
2020-04,47.2,31.5,54.6
2020-05,48.2,32.2,55.7
2020-06,49.2,33.2,56.8
2020-07,50.1,34.0,57.7
