date,value
2000-01,43.71
2000-02,44.08
2000-03,46.35
2000-04,42.54
2000-05,43.07
2000-06,45.72
2000-07,50.43
2000-08,51.6
2000-09,51.05
2000-10,53.33
2000-11,53.41
2000-12,50.35
2001-01,44.23
2001-02,45.55
2001-03,51.84
2001-04,43.33
2001-05,51.08
2001-06,49.55
2001-07,47.52
2001-08,51.51
2001-09,48.51
2001-10,49.06
2001-11,49.36
2001-12,45.99
2002-01,43.96
2002-02,44.42
2002-03,51.39
2002-04,43.36
2002-05,52.28
2002-06,49.76
2002-07,48.31
2002-08,52.8
2002-09,54.43
2002-10,55.64
2002-11,54.96
2002-12,48.68
2003-01,51.02
2003-02,51.3
2003-03,54.57
2003-04,51.01
2003-05,56.68
2003-06,55.68
2003-07,55.37
2003-08,55.15
2003-09,64.24
2003-10,60.72
2003-11,59.66
2003-12,60.04
2004-01,56.85
2004-02,59.38
2004-03,64.24
2004-04,57.33
2004-05,64.32
2004-06,67.08
2004-07,64.28
2004-08,65.47
2004-09,66.17
2004-10,69.25
2004-11,66.82
2004-12,65.59
2005-01,60.16
2005-02,58.97
2005-03,71.43
2005-04,61.82
2005-05,68.41
2005-06,69.59
2005-07,70.47
2005-08,75.32
2005-09,76.55
2005-10,69.84
2005-11,71.87
2005-12,69.02
2006-01,64.39
2006-02,68.48
2006-03,78.51
2006-04,65.29
2006-05,75.73
2006-06,75.81
2006-07,77.7
2006-08,82.54
2006-09,83.95
2006-10,80.73
2006-11,84
2006-12,78.33
2007-01,71.81
2007-02,75.8
2007-03,87.21
2007-04,72.14
2007-05,84.8
2007-06,85.37
2007-07,80.78
2007-08,94.36
2007-09,90.36
2007-10,97.24
2007-11,95.87
2007-12,87.33
2008-01,89.14
2008-02,82.52
2008-03,92.68
2008-04,84.35
2008-05,94.42
2008-06,98.01
2008-07,101.12
2008-08,94.28
2008-09,95.61
2008-10,92.27
2008-11,73.7
2008-12,73.87
2009-01,66.48
2009-02,73.64
2009-03,73.49
2009-04,65.53
2009-05,72.06
2009-06,74.88
2009-07,78.68
2009-08,79.49
2009-09,88.66
2009-10,86.82
2009-11,80.76
2009-12,84.55
2010-01,77.33
2010-02,80.37
2010-03,91.19
2010-04,77.99
2010-05,92.71
2010-06,101.05
2010-07,87.34
2010-08,91.56
2010-09,99.76
2010-10,93.28
2010-11,95.21
2010-12,91.87
2011-01,86.46
2011-02,96.14
2011-03,110.92
2011-04,90.25
2011-05,100.46
2011-06,106.35
2011-07,106.56
2011-08,109.69
2011-09,109.08
2011-10,90.7
2011-11,81.81
2011-12,85.43
2012-01,83.16
2012-02,99
2012-03,104.28
2012-04,87.91
2012-05,108.79
2012-06,103.84
2012-07,101.4
2012-08,103.85
2012-09,108
2012-10,101.61
2012-11,102.76
2012-12,95.43
2013-01,95.19
2013-02,94.35
2013-03,107.9
2013-04,91.9
2013-05,103.82
2013-06,100.54
2013-07,100.64
2013-08,107.02
2013-09,102.85
2013-10,102.1
2013-11,99.82
2013-12,98.44
2014-01,95.16
2014-02,98.11
2014-03,105.49
2014-04,91.71
2014-05,103.55
2014-06,104.1
2014-07,100.18
2014-08,100.21
2014-09,105.65
2014-10,108.12
2014-11,100.11
2014-12,103.55
2015-01,96.18
2015-02,95.33
2015-03,104.69
2015-04,93.33
2015-05,101.25
2015-06,98.2
2015-07,101.28
2015-08,99.53
2015-09,105.44
2015-10,104.04
2015-11,97.12
2015-12,97.12
2016-01,89.48
2016-02,104.07
2016-03,106.1
2016-04,88.21
2016-05,99.83
2016-06,102.37
2016-07,96.38
2016-08,101
2016-09,107.39
2016-10,98.02
2016-11,105.04
2016-12,100.25
2017-01,93.35
2017-02,100.35
2017-03,113.88
2017-04,90
2017-05,106.9
2017-06,107.09
2017-07,101.17
2017-08,113.34
2017-09,116.58
2017-10,106.25
2017-11,112.45
2017-12,104.35
2018-01,105.42
2018-02,104.93
2018-03,117.24
2018-04,99.5
2018-05,116.62
2018-06,113.66
2018-07,106.18
2018-08,117.1
2018-09,108.26
2018-10,112.75
2018-11,111.35
2018-12,102.43
2019-01,99.87
2019-02,102.61
2019-03,111.64
2019-04,96.16
2019-05,108.1
2019-06,111.17
2019-07,109.39
2019-08,114.26
2019-09,105.71
2019-10,106.94
2019-11,102.08
2019-12,99.34
2020-01,102.76
2020-02,106.44
2020-03,110.92
2020-04,94.65
2020-05,84.65
2020-06,85.31
2020-07,97.54
2020-08,105.5
2020-09,102.13
2020-10,101.08
2020-11,98.89
2020-12,103.89
2021-01,101.92
2021-02,103.78
2021-03,123.73
2021-04,109.14
2021-05,117.42
2021-06,120.37
2021-07,115.19
2021-08,111.28
2021-09,117.07
2021-10,114.14
2021-11,118.02
2021-12,126.07
2022-01,105.37
2022-02,115.58
2022-03,140.53
2022-04,110.44
2022-05,124.31
2022-06,126.85
2022-07,113.42
2022-08,115.11
2022-09,121.74
2022-10,106.59
2022-11,108.53
2022-12,106.02
2023-01,99.7
2023-02,109.06
2023-03,132.59
2023-04,103.99
2023-05,116.93
2023-06,119.3
2023-07,107.4
2023-08,112.49
2023-09,122.01
2023-10,113.28
2023-11,112.42
2023-12,108.02
2024-01,106.37
2024-02,111
2024-03,117.74
2024-04,108.43
2024-05,123.66
2024-06,116.78
2024-07,121.84
2024-08,124.07
2024-09,122.17
2024-10,127.68
2024-11,121.44
2024-12,116.17
2025-01,118.96
2025-02,125.47
2025-03,137.77
2025-04,118.89
2025-05,145.95
2025-06,134.66
2025-07,133.05
2025-08,130.36
2025-09,144.88
2025-10,133.62
