date,wage_whole,wage_private
2011-01,9175.72,7578.06
2011-02,9836.15,7966.64
2011-03,9372.42,7916.72
2011-04,9289.1,7570.54
2011-05,9775.14,8063.34
2011-06,9974.91,8405.25
2011-07,10469.3,8660.97
2011-08,10370.36,8632.3
2011-09,10361.53,8658.48
2011-10,10391.45,8637.18
2011-11,10829.12,8545.26
2011-12,10209.82,8335.43
2012-01,10547.01,8964.45
2012-02,10579.26,8778.73
2012-03,10817.51,9267.39
2012-04,11453.95,9750.22
2012-05,11137.12,9548.08
2012-06,11508.23,10060.91
2012-07,11581.01,10020.74
2012-08,11181.89,9826.46
2012-09,11184.11,9544.96
2012-10,11557.53,10030.78
2012-11,11324.07,9817.46
2012-12,11442.65,9880.9
2013-01,11317.3,9692.43
2013-02,11627.64,10101.53
2013-03,12287.07,10717.11
2013-04,11596.2,9899.89
2013-05,12022.94,10619.19
2013-06,12316.51,10895.81
2013-07,12455.77,11107.2
2013-08,12486.38,10877.04
2013-09,12083.68,10703.96
2013-10,12010.85,10408.61
2013-11,12445.44,11066.09
2013-12,12332.51,10836.98
2014-01,12911.24,11398.9
2014-02,12809.44,11335.46
2014-03,12633.14,11020.76
2014-04,13219.29,11537.75
2014-05,13264.39,11652.83
2014-06,13267.76,11650.16
2014-07,13472.35,11857.8
2014-08,13410.76,12001.61
2014-09,13312.36,11925.64
2014-10,13550.26,12068.18
2014-11,14063.2,12387.05
2014-12,13185.96,11668.33
2015-01,13567.39,12131.98
2015-02,13128.16,11517.69
2015-03,13117.87,11501.66
2015-04,13296.71,11720.86
2015-05,13330.52,11746.67
2015-06,13394.92,11858.82
2015-07,13908.1,12385.78
2015-08,13429.36,11879.34
2015-09,13451.26,12034.42
2015-10,14166.6,12726.02
2015-11,13501.29,11865.78
2015-12,13627.88,12038.77
2016-01,13652.66,11921.69
2016-02,13435.83,11747.35
2016-03,13398.93,11844.97
2016-04,13499.85,11777.67
2016-05,13857.61,11960.38
2016-06,13620.35,12068.87
2016-07,14182,12478
2016-08,13589.03,11816.22
2016-09,13645.32,12186.41
2016-10,14194.69,12486.64
2016-11,13881.58,12286.53
2016-12,13716.48,12336.85
2017-01,13494.69,11568.84
2017-02,13425.74,11763.69
2017-03,13285.77,11816.19
2017-04,13449.28,11605.82
2017-05,13519.74,11825.23
2017-06,13951.62,12414.67
2017-07,13906.05,12012.67
2017-08,13782.65,12104.5
2017-09,13864.21,12375.47
2017-10,13920.72,12188.7
2017-11,14183.1,12552.7
2017-12,13736.38,12276.17
2018-01,13849.31,12133.51
2018-02,13765.31,12020.94
2018-03,13678.5,12024.26
2018-04,13867.99,12126.17
2018-05,13529.33,11947.07
2018-06,14051.65,12556.52
2018-07,14079.85,12469.85
2018-08,14000.12,12518.81
2018-09,14204.56,12765.9
2018-10,14159.08,12579.15
2018-11,14221.13,12777.98
2018-12,13848.66,12326.81
2019-01,14181.38,12531.62
2019-02,13898.84,12276.97
2019-03,13982.17,12475.79
2019-04,14558.15,13049.97
2019-05,14091.99,12682.14
2019-06,14393.49,12900.91
2019-07,14552.47,13037.48
2019-08,14096.55,12650.41
2019-09,14242.26,12790.57
2019-10,14351.25,12694.59
2019-11,14160.22,12642.13
2019-12,14122.12,12752.45
2020-01,14513.61,12841.93
2020-02,14061.07,12637.71
2020-03,14623.21,13088.32
2020-07,14657.05,12989.2
2020-08,14580.52,12884.93
2020-09,14624.21,13225.23
2020-10,14836.22,13170.54
2020-11,14483.88,12935.96
2020-12,14419.08,12996.43
2022-08,15431.19,13701.61
2022-09,15115.7,13793.41
2022-10,15470.59,14078.12
2022-11,15532.43,13976.22
2022-12,15351.63,13950.46
2023-01,15354.88,14068.54
2023-02,15393.28,13807.19
2023-03,14684.9,13448.15
2023-04,15380.72,13976.67
2023-05,16070.13,14571.48
2023-06,14785.52,13596.57
2023-07,15602.42,14144.72
2023-08,15821,14486
2023-09,14940.56,13798.91
2023-10,15602.91,14315.37
2023-11,15630.51,14272.74
2023-12,14943.52,13728.44
2024-01,15286.75,13977.18
2024-02,15317.7,14031.88
2024-03,14483.67,13371.99
2024-04,15299.78,13868.63
2024-05,15581.21,14347.74
2024-06,15050.27,13848.48
2024-07,15710.06,14303.63
2024-08,16001.66,14917.24
2024-09,15302.06,14243.23
2024-10,15821.24,14541.47
2024-11,16176.92,15067.65
2024-12,15107.5,14104.09
