date,cci_overall,cpi,unemployment,policy_rate,import_price,export_price,gdp,เศรษฐกิจไทย,มาตรการของรัฐ,สังคม/ความมั่นคง,การเมือง,ราคาสินค้าเกษตร,เศรษฐกิจโลก,ภัยพิบัติ/โรคระบาด,ราคาน้ำมันเชื้อเพลิง
2024-01-01,62.9,99.26,1.08,2.5,110.99,109.84,2899023.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0
2024-02-01,63.8,99.48,0.98,2.5,110.89,110.04,2899023.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2024-03-01,63.0,99.51,0.98,2.5,111.9,110.33,2899023.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0
2024-04-01,62.1,100.36,1.1,2.5,113.64,110.64,2694894.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
2024-05-01,60.5,100.98,1.21,2.5,113.24,110.56,2694894.0,48.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0
2024-06-01,58.9,100.67,0.93,2.5,113.41,110.53,2694894.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0
2024-07-01,57.7,100.86,1.07,2.5,113.43,110.68,2664915.0,52.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0
2024-08-01,56.5,100.94,1.1,2.5,112.82,110.68,2664915.0,55.0,2.0,0.0,3.0,0.0,2.0,0.0,3.0
2024-09-01,55.3,100.84,0.84,2.5,112.34,110.83,2664915.0,53.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-10-01,56.0,100.77,0.97,2.25,112.96,110.97,2920669.0,47.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2024-11-01,56.9,100.64,0.94,2.25,112.14,110.64,2920669.0,16.0,1.0,0.0,0.0,0.0,3.0,0.0,7.0
2024-12-01,57.9,100.47,0.78,2.25,112.64,110.76,2920669.0,39.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0
2025-01-01,59.0,100.57,0.94,2.25,114.98,110.88,2990539.0,19.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
2025-02-01,57.8,100.55,0.79,2.0,115.04,110.94,2990539.0,29.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0
2025-03-01,56.7,100.35,0.94,2.0,115.0,111.0,2990539.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2025-04-01,55.4,100.14,1.0,1.75,114.69,110.94,2770939.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2025-05-01,54.2,100.4,0.83,1.75,114.43,110.95,2770939.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0
2025-06-01,52.7,100.42,0.81,1.75,115.93,111.28,2770939.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0
2025-07-01,51.7,100.15,0.69,1.75,115.98,111.23,2695999.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
