feature,shap_importance,shap_value
cci_overall_target_lag-1,3.3851924,-3.3851924
cpi_pastcov_lag-3,0.5222539,-0.5222539
cci_overall_target_lag-2,0.37870637,-0.37870637
policy_rate_pastcov_lag-3,0.31369328,-0.31369328
cci_overall_target_lag-3,0.19583835,-0.19583835
import_price_pastcov_lag-2,0.12285,-0.12285
import_price_pastcov_lag-3,0.1029627,-0.1029627
unemployment_pastcov_lag-3,0.033978716,-0.033978716
import_price_pastcov_lag-1,0.031368442,-0.031368442
unemployment_pastcov_lag-2,0.0059202677,-0.0059202677
export_price_pastcov_lag-1,0.005597321,-0.005597321
เศรษฐกิจไทย_net_pastcov_lag-3,0.0011656655,-0.0011656655
เศรษฐกิจไทย_net_pastcov_lag-2,0.00073298067,-0.00073298067
unemployment_pastcov_lag-1,0.0002519479,0.0002519479
export_price_pastcov_lag-2,0.00020813108,-0.00020813108
ราคาสินค้าเกษตร_net_pastcov_lag-3,0.00012745167,0.00012745167
gdp_pastcov_lag-3,9.998064e-05,9.998064e-05
cpi_pastcov_lag-2,6.8677626e-05,-6.8677626e-05
การเมือง_net_pastcov_lag-2,6.164904e-05,6.164904e-05
export_price_pastcov_lag-3,0.0,0.0
การเมือง_net_pastcov_lag-3,0.0,0.0
ราคาน้ำมันเชื้อเพลิง_net_pastcov_lag-3,0.0,0.0
มาตรการของรัฐ_net_pastcov_lag-3,0.0,0.0
ภัยพิบัติ/โรคระบาด_net_pastcov_lag-3,0.0,0.0
ภัยพิบัติ/โรคระบาด_net_pastcov_lag-2,0.0,0.0
policy_rate_pastcov_lag-2,0.0,0.0
เศรษฐกิจโลก_net_pastcov_lag-3,0.0,0.0
gdp_pastcov_lag-2,0.0,0.0
สังคม/ความมั่นคง_net_pastcov_lag-3,0.0,0.0
สังคม/ความมั่นคง_net_pastcov_lag-2,0.0,0.0
ราคาสินค้าเกษตร_net_pastcov_lag-2,0.0,0.0
ราคาน้ำมันเชื้อเพลิง_net_pastcov_lag-2,0.0,0.0
มาตรการของรัฐ_net_pastcov_lag-2,0.0,0.0
cpi_pastcov_lag-1,0.0,0.0
เศรษฐกิจโลก_net_pastcov_lag-2,0.0,0.0
policy_rate_pastcov_lag-1,0.0,0.0
gdp_pastcov_lag-1,0.0,0.0
การเมือง_net_pastcov_lag-1,0.0,0.0
ภัยพิบัติ/โรคระบาด_net_pastcov_lag-1,0.0,0.0
มาตรการของรัฐ_net_pastcov_lag-1,0.0,0.0
ราคาน้ำมันเชื้อเพลิง_net_pastcov_lag-1,0.0,0.0
ราคาสินค้าเกษตร_net_pastcov_lag-1,0.0,0.0
สังคม/ความมั่นคง_net_pastcov_lag-1,0.0,0.0
เศรษฐกิจโลก_net_pastcov_lag-1,0.0,0.0
เศรษฐกิจไทย_net_pastcov_lag-1,0.0,0.0
