feature,shap_importance,shap_value
cci_overall_target_lag-1,3.163493,-3.163493
cpi_pastcov_lag-3,0.5501066,-0.5501066
cci_overall_target_lag-2,0.4084349,-0.4084349
cci_overall_target_lag-3,0.38356173,-0.38356173
import_price_pastcov_lag-3,0.18136005,-0.18136005
policy_rate_pastcov_lag-3,0.15581661,-0.15581661
มาตรการของรัฐ_pastcov_lag-3,0.1129806,-0.1129806
import_price_pastcov_lag-2,0.08405668,-0.08405668
ราคาน้ำมันเชื้อเพลิง_pastcov_lag-1,0.05238984,-0.05238984
มาตรการของรัฐ_pastcov_lag-1,0.028252464,0.028252464
export_price_pastcov_lag-1,0.021561489,-0.021561489
การเมือง_pastcov_lag-3,0.015225781,-0.015225781
ราคาสินค้าเกษตร_pastcov_lag-3,0.009477403,-0.009477403
import_price_pastcov_lag-1,0.008653938,-0.008653938
มาตรการของรัฐ_pastcov_lag-2,0.0058177137,0.0058177137
ภัยพิบัติ/โรคระบาด_pastcov_lag-3,0.0025174932,0.0025174932
เศรษฐกิจไทย_pastcov_lag-2,0.001761106,0.001761106
unemployment_pastcov_lag-3,0.00047796633,-0.00047796633
การเมือง_pastcov_lag-2,7.144807e-05,7.144807e-05
การเมือง_pastcov_lag-1,4.822095e-05,4.822095e-05
เศรษฐกิจโลก_pastcov_lag-2,2.44011e-05,-2.44011e-05
ราคาสินค้าเกษตร_pastcov_lag-1,1.630187e-05,-1.630187e-05
สังคม/ความมั่นคง_pastcov_lag-3,1.3167347e-05,1.3167347e-05
ราคาน้ำมันเชื้อเพลิง_pastcov_lag-3,0.0,0.0
เศรษฐกิจไทย_pastcov_lag-3,0.0,0.0
เศรษฐกิจโลก_pastcov_lag-3,0.0,0.0
ภัยพิบัติ/โรคระบาด_pastcov_lag-2,0.0,0.0
ราคาน้ำมันเชื้อเพลิง_pastcov_lag-2,0.0,0.0
gdp_pastcov_lag-3,0.0,0.0
policy_rate_pastcov_lag-2,0.0,0.0
unemployment_pastcov_lag-2,0.0,0.0
cpi_pastcov_lag-2,0.0,0.0
ราคาสินค้าเกษตร_pastcov_lag-2,0.0,0.0
สังคม/ความมั่นคง_pastcov_lag-2,0.0,0.0
export_price_pastcov_lag-3,0.0,0.0
ภัยพิบัติ/โรคระบาด_pastcov_lag-1,0.0,0.0
gdp_pastcov_lag-2,0.0,0.0
สังคม/ความมั่นคง_pastcov_lag-1,0.0,0.0
export_price_pastcov_lag-2,0.0,0.0
เศรษฐกิจโลก_pastcov_lag-1,0.0,0.0
เศรษฐกิจไทย_pastcov_lag-1,0.0,0.0
unemployment_pastcov_lag-1,0.0,0.0
cpi_pastcov_lag-1,0.0,0.0
policy_rate_pastcov_lag-1,0.0,0.0
gdp_pastcov_lag-1,0.0,0.0
