forecast_month,feature,shap_importance,shap_value,abs_shap
2025-08,cpi_pastcov_lag-3,0.5501066,-0.5501066,0.5501066
2025-08,import_price_pastcov_lag-3,0.18136005,-0.18136005,0.18136005
2025-08,policy_rate_pastcov_lag-3,0.15581661,-0.15581661,0.15581661
2025-08,มาตรการของรัฐ_pastcov_lag-3,0.1129806,-0.1129806,0.1129806
2025-08,import_price_pastcov_lag-2,0.08405668,-0.08405668,0.08405668
2025-08,ราคาน้ำมันเชื้อเพลิง_pastcov_lag-1,0.05238984,-0.05238984,0.05238984
2025-08,มาตรการของรัฐ_pastcov_lag-1,0.028252464,0.028252464,0.028252464
2025-08,export_price_pastcov_lag-1,0.021561489,-0.021561489,0.021561489
2025-08,การเมือง_pastcov_lag-3,0.015225781,-0.015225781,0.015225781
2025-08,ราคาสินค้าเกษตร_pastcov_lag-3,0.009477403,-0.009477403,0.009477403
2025-08,import_price_pastcov_lag-1,0.008653938,-0.008653938,0.008653938
2025-08,มาตรการของรัฐ_pastcov_lag-2,0.0058177137,0.0058177137,0.0058177137
2025-08,ภัยพิบัติ/โรคระบาด_pastcov_lag-3,0.0025174932,0.0025174932,0.0025174932
2025-08,เศรษฐกิจไทย_pastcov_lag-2,0.001761106,0.001761106,0.001761106
2025-08,unemployment_pastcov_lag-3,0.00047796633,-0.00047796633,0.00047796633
2025-08,การเมือง_pastcov_lag-2,7.144807e-05,7.144807e-05,7.144807e-05
2025-08,การเมือง_pastcov_lag-1,4.822095e-05,4.822095e-05,4.822095e-05
2025-08,เศรษฐกิจโลก_pastcov_lag-2,2.44011e-05,-2.44011e-05,2.44011e-05
2025-08,ราคาสินค้าเกษตร_pastcov_lag-1,1.630187e-05,-1.630187e-05,1.630187e-05
2025-08,สังคม/ความมั่นคง_pastcov_lag-3,1.3167347e-05,1.3167347e-05,1.3167347e-05
2025-08,policy_rate_pastcov_lag-1,0.0,0.0,0.0
2025-08,export_price_pastcov_lag-3,0.0,0.0,0.0
2025-08,cpi_pastcov_lag-1,0.0,0.0,0.0
2025-08,unemployment_pastcov_lag-1,0.0,0.0,0.0
2025-08,เศรษฐกิจไทย_pastcov_lag-1,0.0,0.0,0.0
2025-08,เศรษฐกิจโลก_pastcov_lag-1,0.0,0.0,0.0
2025-08,export_price_pastcov_lag-2,0.0,0.0,0.0
2025-08,สังคม/ความมั่นคง_pastcov_lag-1,0.0,0.0,0.0
2025-08,gdp_pastcov_lag-2,0.0,0.0,0.0
2025-08,ภัยพิบัติ/โรคระบาด_pastcov_lag-1,0.0,0.0,0.0
2025-08,เศรษฐกิจไทย_pastcov_lag-3,0.0,0.0,0.0
2025-08,สังคม/ความมั่นคง_pastcov_lag-2,0.0,0.0,0.0
2025-08,ราคาสินค้าเกษตร_pastcov_lag-2,0.0,0.0,0.0
2025-08,cpi_pastcov_lag-2,0.0,0.0,0.0
2025-08,unemployment_pastcov_lag-2,0.0,0.0,0.0
2025-08,policy_rate_pastcov_lag-2,0.0,0.0,0.0
2025-08,gdp_pastcov_lag-3,0.0,0.0,0.0
2025-08,ราคาน้ำมันเชื้อเพลิง_pastcov_lag-2,0.0,0.0,0.0
2025-08,ภัยพิบัติ/โรคระบาด_pastcov_lag-2,0.0,0.0,0.0
2025-08,เศรษฐกิจโลก_pastcov_lag-3,0.0,0.0,0.0
2025-08,ราคาน้ำมันเชื้อเพลิง_pastcov_lag-3,0.0,0.0,0.0
2025-08,gdp_pastcov_lag-1,0.0,0.0,0.0
