date,value
1993-Q1,1067301
1993-Q2,1039924
1993-Q3,1086494
1993-Q4,1147308
1994-Q1,1179517
1994-Q2,1146232
1994-Q3,1135828
1994-Q4,1226603
1995-Q1,1265610
1995-Q2,1256367
1995-Q3,1231962
1995-Q4,1314936
1996-Q1,1313862
1996-Q2,1336374
1996-Q3,1323012
1996-Q4,1382117
1997-Q1,1318993
1997-Q2,1309139
1997-Q3,1282881
1997-Q4,1296888
1998-Q1,1244216
1998-Q2,1145060
1998-Q3,1155997
1998-Q4,1265055
1999-Q1,1259716
1999-Q2,1206997
1999-Q3,1246015
1999-Q4,1317543
2000-Q1,1346757
2000-Q2,1279194
2000-Q3,1276273
2000-Q4,1352158
2001-Q1,1378078
2001-Q2,1326723
2001-Q3,1322686
2001-Q4,1407869
2002-Q1,1441030
2002-Q2,1411214
2002-Q3,1414291
2002-Q4,1503042
2003-Q1,1550742
2003-Q2,1500109
2003-Q3,1511005
2003-Q4,1622511
2004-Q1,1651929
2004-Q2,1594896
2004-Q3,1596306
2004-Q4,1730192
2005-Q1,1715539
2005-Q2,1663994
2005-Q3,1672102
2005-Q4,1796955
2006-Q1,1810063
2006-Q2,1738304
2006-Q3,1746759
2006-Q4,1893689
2007-Q1,1928792
2007-Q2,1829463
2007-Q3,1842192
2007-Q4,1979091
2008-Q1,1992940
2008-Q2,1893939
2008-Q3,1883585
2008-Q4,1939874
2009-Q1,1907673
2009-Q2,1836030
2009-Q3,1874133
2009-Q4,2039253
2010-Q1,2139668
2010-Q2,2000920
2010-Q3,1982245
2010-Q4,2109563
2011-Q1,2209743
2011-Q2,2037494
2011-Q3,2029932
2011-Q4,2024390
2012-Q1,2272805
2012-Q2,2160308
2012-Q3,2132192
2012-Q4,2337519
2013-Q1,2395328
2013-Q2,2219187
2013-Q3,2185277
2013-Q4,2342295
2014-Q1,2386444.034
2014-Q2,2237767.97
2014-Q3,2208911.957
2014-Q4,2398964.039
2015-Q1,2459674.65
2015-Q2,2303095.354
2015-Q3,2285060.32
2015-Q4,2473595.676
2016-Q1,2541549
2016-Q2,2390876
2016-Q3,2357971
2016-Q4,2558106
2017-Q1,2638918
2017-Q2,2494793
2017-Q3,2463648
2017-Q4,2662582
2018-Q1,2772274
2018-Q2,2610783
2018-Q3,2543414
2018-Q4,2766734
2019-Q1,2845657
2019-Q2,2668902
2019-Q3,2605929
2019-Q4,2798831
2020-Q1,2785733
2020-Q2,2343919
2020-Q3,2442517
2020-Q4,2686527
2021-Q1,2715941
2021-Q2,2524347
2021-Q3,2439023
2021-Q4,2738617
2022-Q1,2776120
2022-Q2,2585625
2022-Q3,2548065
2022-Q4,2776940
2023-Q1,2851124
2023-Q2,2634713
2023-Q3,2588398
2023-Q4,2828147
2024-Q1,2899023
2024-Q2,2694894
2024-Q3,2664915
2024-Q4,2920669
2025-Q1,2990539
2025-Q2,2770939
2025-Q3,2695999
