date,value
2011-01,0.98
2011-02,0.7
2011-03,0.72
2011-04,0.75
2011-05,0.53
2011-06,0.42
2011-07,0.52
2011-08,0.68
2011-09,0.75
2011-10,0.56
2011-11,0.82
2011-12,0.43
2012-01,0.81
2012-02,0.66
2012-03,0.73
2012-04,0.97
2012-05,0.92
2012-06,0.67
2012-07,0.56
2012-08,0.56
2012-09,0.63
2012-10,0.56
2012-11,0.39
2012-12,0.48
2013-01,0.83
2013-02,0.62
2013-03,0.69
2013-04,0.89
2013-05,0.77
2013-06,0.55
2013-07,0.89
2013-08,0.81
2013-09,0.67
2013-10,0.62
2013-11,0.72
2013-12,0.62
2014-01,0.94
2014-02,0.86
2014-03,0.88
2014-04,0.9
2014-05,0.94
2014-06,1.15
2014-07,0.97
2014-08,0.74
2014-09,0.8
2014-10,0.75
2014-11,0.55
2014-12,0.56
2015-01,1.06
2015-02,0.82
2015-03,0.99
2015-04,0.85
2015-05,0.93
2015-06,0.83
2015-07,1
2015-08,0.97
2015-09,0.78
2015-10,0.85
2015-11,0.9
2015-12,0.65
2016-01,0.91
2016-02,0.87
2016-03,1.04
2016-04,1.04
2016-05,1.2
2016-06,1.01
2016-07,1.01
2016-08,0.93
2016-09,0.87
2016-10,1.19
2016-11,0.99
2016-12,0.8
2017-01,1.18
2017-02,1.12
2017-03,1.29
2017-04,1.25
2017-05,1.32
2017-06,1.07
2017-07,1.24
2017-08,1.12
2017-09,1.17
2017-10,1.29
2017-11,1.14
2017-12,0.96
2018-01,1.26
2018-02,1.28
2018-03,1.16
2018-04,1.06
2018-05,1.04
2018-06,1.1
2018-07,0.98
2018-08,1.04
2018-09,0.97
2018-10,1.01
2018-11,0.95
2018-12,0.91
2019-01,1.02
2019-02,0.78
2019-03,0.9
2019-04,0.96
2019-05,1.11
2019-06,0.94
2019-07,1.14
2019-08,1
2019-09,1.02
2019-10,0.95
2019-11,1.12
2019-12,0.96
2020-01,1.07
2020-02,1.09
2020-03,1.03
2020-07,2.15
2020-08,1.86
2020-09,1.79
2020-10,2.09
2020-11,2
2020-12,1.49
2022-08,1.22
2022-09,1.15
2022-10,1.4
2022-11,1.15
2022-12,0.96
2023-01,1.22
2023-02,0.88
2023-03,1.03
2023-04,1.03
2023-05,1.28
2023-06,0.89
2023-07,1.15
2023-08,0.98
2023-09,0.85
2023-10,0.85
2023-11,0.8
2023-12,0.79
2024-01,1.08
2024-02,0.98
2024-03,0.98
2024-04,1.1
2024-05,1.21
2024-06,0.93
2024-07,1.07
2024-08,1.1
2024-09,0.84
2024-10,0.97
2024-11,0.94
2024-12,0.78
2025-01,0.94
2025-02,0.79
2025-03,0.94
2025-04,1
2025-05,0.83
2025-06,0.81
2025-07,0.69
2025-08,0.74
