date,การเมือง,ภัยพิบัติ/โรคระบาด,มาตรการของรัฐ,ราคาน้ำมันเชื้อเพลิง,ราคาสินค้าเกษตร,สังคม/ความมั่นคง,เศรษฐกิจโลก,เศรษฐกิจไทย
2017-01,0.575,0.5167,0.5946,0.4333,0.4917,0.4812,,0.6227
2017-02,0.55,0.5125,0.6,0.3,0.4889,0.6,0.65,0.5872
2017-03,0.475,0.65,0.5475,0.75,0.5,0.5308,0.4125,0.608
2017-04,,0.65,0.6062,0.55,0.58,0.5571,0.4333,0.5794
2017-05,0.4667,0.55,0.54,0.8,0.47,0.6125,0.55,0.6198
2017-06,0.525,,0.6,0.475,0.495,0.5417,0.4625,0.586
2017-07,0.65,0.35,0.655,0.5,0.5357,0.5111,0.575,0.6082
2017-08,0.5,,0.5879,,0.6,0.5056,0.575,0.6272
2017-09,0.425,,0.5429,0.85,0.575,0.495,0.5,0.5694
2017-10,0.75,,0.5694,0.65,0.5857,0.61,0.65,0.5952
2017-11,0.6333,0.55,0.58,0.65,0.6333,0.6062,0.53,0.624
2017-12,0.45,,0.5875,0.42,0.6357,0.5833,0.7,0.5783
2018-01,0.5167,,0.545,0.25,0.5188,0.475,0.4625,0.5932
2018-02,0.65,0.65,0.59,0.7167,0.5636,0.5,0.55,0.5943
2018-03,0.5,0.45,0.62,0.25,0.5357,0.6125,0.65,0.5847
2018-04,0.5,,0.6265,0.55,0.5429,0.55,0.4833,0.5689
2018-05,0.4875,,0.5886,0.6167,0.5429,0.5125,0.525,0.5826
2018-06,0.3833,0.475,0.5425,0.55,0.5722,0.43,0.5167,0.5667
2018-07,0.5833,0.45,0.6115,0.525,0.4875,0.5875,0.4667,0.57
2018-08,0.48,0.55,0.587,0.57,0.4714,0.51,0.65,0.5819
2018-09,0.425,0.35,0.5929,0.56,0.5722,0.53,0.3917,0.5733
2018-10,0.475,,0.575,,0.5071,0.5409,0.5375,0.6023
2018-11,0.5,,0.5688,0.65,0.6375,0.63,0.55,0.5687
2018-12,0.45,,0.5914,0.5167,0.55,0.5853,0.55,0.6267
2019-01,0.475,0.425,0.6109,,0.4833,0.6286,0.5,0.5477
2019-02,0.48,0.35,0.6364,0.5,0.45,0.6208,0.3875,0.5474
2019-03,0.55,0.5833,0.5857,0.85,0.3875,0.65,0.45,0.5184
2019-04,0.4857,0.475,0.5972,0.65,0.4857,0.85,0.75,0.5722
2019-05,0.4643,0.65,0.5967,0.65,0.475,0.5333,0.55,0.5928
2019-06,0.425,0.5667,0.6196,0.4333,0.45,0.65,0.5167,0.5862
2019-07,0.45,0.4,0.602,0.65,0.4583,0.5214,0.4,0.5966
2019-08,0.5,,0.6132,0.475,0.6,0.5812,0.4583,0.5361
2019-09,0.47,0.4833,0.5571,,0.5833,0.6,0.5125,0.5638
2019-10,0.475,0.475,0.5833,0.45,0.575,0.43,0.4417,0.5695
2019-11,0.4,,0.6098,0.4875,0.525,0.5,0.375,0.5887
2019-12,0.46,,0.6167,,0.4583,0.5,0.65,0.5743
2020-01,0.5125,0.6,0.67,0.625,0.575,0.5136,0.45,0.5612
2020-02,0.55,0.5286,0.6273,0.525,0.5929,0.5269,0.575,0.58
