date,cci,cpi,gdp,unemployment_rate,impi,expi,การเมือง,ภัยพิบัติ/โรคระบาด,มาตรการของรัฐ,ราคาน้ำมันเชื้อเพลิง,ราคาสินค้าเกษตร,สังคม/ความมั่นคง,เศรษฐกิจโลก,เศรษฐกิจไทย
2011-01-01,81.5,83.1,2209743.0,0.98,93.25,98.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,80.9,83.43,2209743.0,0.7,94.49,99.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,79.8,83.84,2209743.0,0.72,96.17,99.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,79.6,84.99,2037494.0,0.75,98.04,99.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-01,80.4,85.28,2037494.0,0.53,98.65,99.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,81.7,85.39,2037494.0,0.42,98.39,99.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-01,84.1,85.55,2029932.0,0.52,99.22,99.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-01,83.4,85.92,2029932.0,0.68,99.75,99.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-01,81.8,85.62,2029932.0,0.75,99.33,99.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-01,72.4,85.79,2024390.0,0.56,99.36,99.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,71.0,85.97,2024390.0,0.82,99.6,99.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-01,73.1,85.56,2024390.0,0.43,99.47,98.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,74.2,85.9,2272805.0,0.81,99.94,99.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,75.5,86.21,2272805.0,0.66,100.87,100.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,76.6,86.72,2272805.0,0.73,101.21,100.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,77.6,87.09,2160308.0,0.97,101.38,100.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,77.1,87.43,2160308.0,0.92,100.78,100.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,78.6,87.58,2160308.0,0.67,99.21,99.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
