date,value
1976-01,16.98
1976-02,17.16
1976-03,17.44
1976-04,17.26
1976-05,17.26
1976-06,17.26
1976-07,17.16
1976-08,17.26
1976-09,17.63
1976-10,17.72
1976-11,17.81
1976-12,17.63
1977-01,17.81
1977-02,17.91
1977-03,18
1977-04,18.19
1977-05,18.65
1977-06,18.74
1977-07,18.83
1977-08,19.11
1977-09,19.3
1977-10,19.3
1977-11,19.3
1977-12,19.3
1978-01,19.3
1978-02,19.3
1978-03,19.48
1978-04,19.76
1978-05,20.04
1978-06,20.32
1978-07,20.32
1978-08,20.41
1978-09,20.5
1978-10,20.78
1978-11,20.78
1978-12,20.69
1979-01,20.78
1979-02,20.78
1979-03,20.88
1979-04,21.25
1979-05,21.53
1979-06,21.71
1979-07,22.27
1979-08,22.55
1979-09,23.01
1979-10,23.57
1979-11,23.66
1979-12,23.66
1980-01,24.31
1980-02,25.05
1980-03,25.52
1980-04,25.79
1980-05,26.72
1980-06,26.91
1980-07,26.72
1980-08,27
1980-09,27.09
1980-10,27.46
1980-11,27.83
1980-12,27.65
1981-01,28.21
1981-02,28.58
1981-03,29.32
1981-04,29.69
1981-05,29.78
1981-06,29.97
1981-07,29.97
1981-08,30.06
1981-09,30.43
1981-10,30.62
1981-11,30.8
1981-12,30.99
1982-01,30.9
1982-02,30.99
1982-03,31.27
1982-04,31.08
1982-05,31.45
1982-06,31.45
1982-07,31.36
1982-08,31.36
1982-09,31.64
1982-10,31.82
1982-11,32.1
1982-12,31.82
1983-01,31.64
1983-02,31.92
1983-03,32.01
1983-04,32.2
1983-05,32.57
1983-06,32.75
1983-07,32.75
1983-08,33.12
1983-09,33.22
1983-10,33.22
1983-11,33.31
1983-12,33.12
1984-01,32.84
1984-02,32.84
1984-03,32.84
1984-04,33.03
1984-05,33.22
1984-06,32.94
1984-07,32.84
1984-08,32.94
1984-09,32.94
1984-10,33.12
1984-11,32.84
1984-12,32.84
1985-01,33.03
1985-02,33.31
1985-03,33.4
1985-04,33.49
1985-05,33.68
1985-06,33.68
1985-07,33.68
1985-08,33.77
1985-09,33.96
1985-10,34.14
1985-11,34.05
1985-12,33.96
1986-01,33.87
1986-02,33.87
1986-03,34.14
1986-04,34.14
1986-05,34.24
1986-06,34.24
1986-07,34.24
1986-08,34.42
1986-09,34.61
1986-10,34.61
1986-11,34.61
1986-12,34.61
1987-01,34.61
1987-02,34.61
1987-03,34.61
1987-04,34.79
1987-05,34.98
1987-06,35.16
1987-07,35.16
1987-08,35.44
1987-09,35.54
1987-10,35.54
1987-11,35.81
1987-12,35.91
1988-01,35.72
1988-02,36.09
1988-03,36.28
1988-04,36.37
1988-05,36.46
1988-06,36.46
1988-07,36.46
1988-08,36.65
1988-09,36.93
1988-10,37.11
1988-11,36.93
1988-12,36.93
1989-01,37.21
1989-02,37.67
1989-03,37.67
1989-04,37.67
1989-05,38.04
1989-06,38.13
1989-07,38.69
1989-08,39.15
1989-09,39.34
1989-10,39.53
1989-11,39.53
1989-12,39.34
1990-01,39.53
1990-02,39.8
1990-03,39.99
1990-04,40.27
1990-05,40.45
1990-06,40.64
1990-07,40.73
1990-08,40.82
1990-09,41.01
1990-10,41.84
1990-11,42.03
1990-12,41.84
1991-01,41.94
1991-02,42.22
1991-03,42.22
1991-04,42.68
1991-05,43.14
1991-06,43.14
1991-07,42.96
1991-08,43.42
1991-09,43.79
1991-10,43.98
1991-11,43.98
1991-12,43.79
1992-01,43.98
1992-02,43.98
1992-03,43.98
1992-04,44.07
1992-05,44.91
1992-06,45.09
1992-07,45.18
1992-08,45.46
1992-09,45.46
1992-10,45.46
1992-11,45.28
1992-12,45.18
1993-01,45.28
1993-02,45.46
1993-03,45.46
1993-04,46.02
1993-05,46.11
1993-06,46.21
1993-07,46.67
1993-08,46.67
1993-09,47.13
1993-10,47.13
1993-11,46.95
1993-12,47.13
1994-01,47.41
1994-02,47.5
1994-03,47.88
1994-04,48.06
1994-05,48.43
1994-06,48.8
1994-07,48.9
1994-08,49.08
1994-09,49.64
1994-10,49.73
1994-11,49.55
1994-12,49.36
1995-01,49.73
1995-02,49.92
1995-03,50.2
1995-04,50.57
1995-05,51.03
1995-06,51.4
1995-07,51.59
1995-08,52.05
1995-09,52.51
1995-10,53.07
1995-11,53.07
1995-12,53.07
1996-01,53.35
1996-02,53.72
1996-03,53.81
1996-04,54.09
1996-05,54.28
1996-06,54.28
1996-07,54.37
1996-08,54.93
1996-09,55.02
1996-10,55.21
1996-11,55.58
1996-12,55.58
1997-01,55.67
1997-02,56.04
1997-03,56.32
1997-04,56.41
1997-05,56.6
1997-06,56.69
1997-07,57.06
1997-08,58.55
1997-09,58.82
1997-10,59.38
1997-11,59.75
1997-12,59.75
1998-01,60.49
1998-02,61.05
1998-03,61.51
1998-04,61.98
1998-05,62.35
1998-06,62.63
