date,value
1999-01,36.8046
1999-02,37.3631
1999-03,37.6196
1999-04,37.1886
1999-05,37.0559
1999-06,36.8358
1999-07,37.0858
1999-08,38.2967
1999-09,40.9778
1999-10,38.7012
1999-11,39.0246
1999-12,37.471
2000-01,37.4898
2000-02,37.9516
2000-03,37.8066
2000-04,38.0178
2000-05,39.1139
2000-06,39.1223
2000-07,41.4497
2000-08,40.8789
2000-09,42.2142
2000-10,43.9521
2000-11,43.8787
2000-12,43.2676
2001-01,42.5489
2001-02,42.8646
2001-03,44.7725
2001-04,45.5403
2001-05,45.2896
2001-06,45.2051
2001-07,45.6886
2001-08,44.0958
2001-09,44.3812
2001-10,44.62
2001-11,43.987
2001-12,44.2216
2002-01,43.9213
2002-02,43.6826
2002-03,43.4787
2002-04,43.1989
2002-05,42.3747
2002-06,41.5269
2002-07,41.9547
2002-08,42.1679
2002-09,43.3408
2002-10,43.2721
2002-11,43.3464
2002-12,43.1516
2003-01,42.7167
2003-02,42.6164
2003-03,42.8533
2003-04,42.8036
2003-05,41.663
2003-06,41.9776
2003-07,41.9589
2003-08,41.1414
2003-09,39.9482
2003-10,39.8725
2003-11,39.8721
2003-12,39.5906
2004-01,39.234
2004-02,39.2801
2004-03,39.408
2004-04,39.9545
2004-05,40.4705
2004-06,40.8854
2004-07,41.3212
2004-08,41.5993
2004-09,41.4467
2004-10,40.9971
2004-11,39.5107
2004-12,39.0611
2005-01,38.5034
2005-02,38.2785
2005-03,39.1123
2005-04,39.5687
2005-05,40.4697
2005-06,41.2689
2005-07,41.6979
2005-08,41.3086
2005-09,40.9632
2005-10,40.7398
2005-11,41.1706
2005-12,41.0299
2006-01,39.0563
2006-02,39.2668
2006-03,38.7958
2006-04,37.4719
2006-05,38.0923
2006-06,38.1859
2006-07,37.8079
2006-08,37.5422
2006-09,37.4931
2006-10,36.7364
2006-11,35.9969
2006-12,36.0454
2007-01,35.7598
2007-02,35.3932
2007-03,34.9668
2007-04,34.7434
2007-05,34.5992
2007-06,34.4964
2007-07,33.7568
2007-08,34.2884
2007-09,34.2143
2007-10,33.9551
2007-11,33.8054
2007-12,33.7184
2008-01,32.9795
2008-02,31.8506
2008-03,31.4603
2008-04,31.6983
2008-05,32.4016
2008-06,33.4836
2008-07,33.4836
2008-08,34.1176
2008-09,34.0017
2008-10,34.9259
2008-11,35.3802
2008-12,34.8976
2009-01,34.8843
2009-02,36.002
2009-03,35.4797
2009-04,35.2673
2009-05,34.3332
2009-06,33.9796
2009-07,33.9905
2009-08,33.9653
2009-09,33.5102
2009-10,33.385
2009-11,33.1617
2009-12,33.359
2010-01,33.151
2010-02,33.088
2010-03,32.372
2010-04,32.322
2010-05,32.529
2010-06,32.438
2010-07,32.276
2010-08,31.298
2010-09,30.401
2010-10,29.975
2010-11,30.213
2010-12,30.15
2011-01,31.151
2011-02,30.611
2011-03,30.295
2011-04,29.936
2011-05,30.301
2011-06,30.745
2011-07,29.74
2011-08,30.017
2011-09,31.154
2011-10,30.705
2011-11,31.211
2011-12,31.703
2012-01,31.04
2012-02,30.25
2012-03,30.844
2012-04,30.718
2012-05,31.896
2012-06,31.812
2012-07,31.566
2012-08,31.37
2012-09,30.824
2012-10,30.689
2012-11,30.691
2012-12,30.627
2013-01,29.793
2013-02,29.797
2013-03,29.302
2013-04,29.335
2013-05,30.182
2013-06,31.137
2013-07,31.357
2013-08,32.089
2013-09,31.385
2013-10,31.094
2013-11,32.102
2013-12,32.823
2014-01,33.016
2014-02,32.633
2014-03,32.435
2014-04,32.317
2014-05,32.8
2014-06,32.448
2014-07,32.003
2014-08,31.952
2014-09,32.368
2014-10,32.519
2014-11,32.816
2014-12,32.964
2015-01,32.719
2015-02,32.373
2015-03,32.548
2015-04,32.872
2015-05,33.718
2015-06,33.773
2015-07,35.176
2015-08,35.882
2015-09,36.359
2015-10,35.596
2015-11,35.881
2015-12,36.077
2016-01,35.752
2016-02,35.715
2016-03,35.23
2016-04,34.94
2016-05,35.726
2016-06,35.195
2016-07,34.875
2016-08,34.636
2016-09,34.705
2016-10,35.003
2016-11,35.619
2016-12,35.82
2017-01,35.193
2017-02,34.896
2017-03,34.45
2017-04,34.62
2017-05,34.079
2017-06,33.984
2017-07,33.314
2017-08,33.209
2017-09,33.369
