date,value
2000-01,63.27
2000-02,63.97
2000-03,63.97
2000-04,63.66
2000-05,63.27
2000-06,62.72
2000-07,62.65
2000-08,62.02
2000-09,61.25
2000-10,60.86
2000-11,59.38
2000-12,60.23
2001-01,60.08
2001-02,59.61
2001-03,59.22
2001-04,57.43
2001-05,56.96
2001-06,57.28
2001-07,57.04
2001-08,56.81
2001-09,57.12
2001-10,56.73
2001-11,56.34
2001-12,56.42
2002-01,56.42
2002-02,56.19
2002-03,56.73
2002-04,57.98
2002-05,58.05
2002-06,58.44
2002-07,59.3
2002-08,59.46
2002-09,58.99
2002-10,58.29
2002-11,58.05
2002-12,58.37
2003-01,60.23
2003-02,60.62
2003-03,60.7
2003-04,60.31
2003-05,60.54
2003-06,60.86
2003-07,60.86
2003-08,61.17
2003-09,64.28
2003-10,63.35
2003-11,63.04
2003-12,63.04
2004-01,63.81
2004-02,64.05
2004-03,64.28
2004-04,64.98
2004-05,64.51
2004-06,64.2
2004-07,64.67
2004-08,64.9
2004-09,66.46
2004-10,66.46
2004-11,67.08
2004-12,67.32
2005-01,67.24
2005-02,68.56
2005-03,69.57
2005-04,69.73
2005-05,69.49
2005-06,69.49
2005-07,70.43
2005-08,70.51
2005-09,70.82
2005-10,71.44
2005-11,70.89
2005-12,71.13
2006-01,71.75
2006-02,72.3
2006-03,72.68
2006-04,73.39
2006-05,74.01
2006-06,74.55
2006-07,74.63
2006-08,74.55
2006-09,73.85
2006-10,73.93
2006-11,73.62
2006-12,74.16
2007-01,74.79
2007-02,75.8
2007-03,76.26
2007-04,77.59
2007-05,77.98
2007-06,77.74
2007-07,77.35
2007-08,77.67
2007-09,78.13
2007-10,79.3
2007-11,80.47
2007-12,80.78
2008-01,82.1
2008-02,83.19
2008-03,84.05
2008-04,85.91
2008-05,87.7
2008-06,88.87
2008-07,89.65
2008-08,89.81
2008-09,88.72
2008-10,85.68
2008-11,83.66
2008-12,82.18
2009-01,82.8
2009-02,82.96
2009-03,82.26
2009-04,83.27
2009-05,84.98
2009-06,86.15
2009-07,86.15
2009-08,87.94
2009-09,88.17
2009-10,89.26
2009-11,89.88
2009-12,91.21
2010-01,92.06
2010-02,92.92
2010-03,93.0
2010-04,93.31
2010-05,93.39
2010-06,93.23
2010-07,93.23
2010-08,93.62
2010-09,94.71
2010-10,95.95
2010-11,96.65
2010-12,97.35
2011-01,98.13
2011-02,99.07
2011-03,99.3
2011-04,99.92
2011-05,99.69
2011-06,99.77
2011-07,99.84
2011-08,99.92
2011-09,99.77
2011-10,99.46
2011-11,99.07
2011-12,98.68
2012-01,99.3
2012-02,100.16
2012-03,100.39
2012-04,100.62
2012-05,100.31
2012-06,99.61
2012-07,99.61
2012-08,99.69
2012-09,99.92
2012-10,100.08
2012-11,100.08
2012-12,100.16
2013-01,100.3
2013-02,100.36
2013-03,100.26
2013-04,99.92
2013-05,99.88
2013-06,99.47
2013-07,99.29
2013-08,99.2
2013-09,99.01
2013-10,99.06
2013-11,98.91
2013-12,98.82
2014-01,98.72
2014-02,98.49
2014-03,98.89
2014-04,98.92
2014-05,98.83
2014-06,98.93
2014-07,99.07
2014-08,98.8
2014-09,98.32
2014-10,97.6
2014-11,96.79
2014-12,95.74
2015-01,94.75
2015-02,94.95
2015-03,95.06
2015-04,95.17
2015-05,95.53
2015-06,95.46
2015-07,94.79
2015-08,93.69
2015-09,93.03
2015-10,93.13
2015-11,92.82
2015-12,92.49
2016-01,92.11
2016-02,92.14
2016-03,92.9
2016-04,93.35
2016-05,94.23
2016-06,94.56
2016-07,94.57
2016-08,94.35
2016-09,94.38
2016-10,94.6
2016-11,94.62
2016-12,95.08
2017-01,95.53
2017-02,95.96
2017-03,96.02
2017-04,96.5
2017-05,96.72
2017-06,96.82
2017-07,97.05
2017-08,97.71
2017-09,98.39
2017-10,98.42
2017-11,98.94
2017-12,99.3
2018-01,100.09
2018-02,100.32
2018-03,100.58
2018-04,100.99
2018-05,101.18
2018-06,100.92
2018-07,100.59
2018-08,100.55
2018-09,100.81
2018-10,100.93
2018-11,100.45
2018-12,99.98
2019-01,100.34
2019-02,100.67
2019-03,101.12
2019-04,101.31
2019-05,101.24
2019-06,101.05
2019-07,101.21
2019-08,100.89
2019-09,101.07
2019-10,100.69
2019-11,100.68
2019-12,101.08
2020-01,101.04
2020-02,100.5
2020-03,99.5
2020-04,98.85
2020-05,98.85
2020-06,99.63
2020-07,100.16
2020-08,100.51
2020-09,100.52
2020-10,100.6
2020-11,100.92
2020-12,101.23
2021-01,101.85
2021-02,102.48
2021-03,102.96
2021-04,102.81
2021-05,103.24
2021-06,103.44
2021-07,103.45
2021-08,103.39
2021-09,103.75
2021-10,104.58
2021-11,104.82
2021-12,104.66
2022-01,105.51
2022-02,106.42
2022-03,107.6
2022-04,107.97
2022-05,108.45
2022-06,108.93
2022-07,108.33
2022-08,108.16
2022-09,107.89
2022-10,107.91
2022-11,107.98
2022-12,108.04
2023-01,108.65
2023-02,108.61
2023-03,108.61
2023-04,108.97
2023-05,108.69
2023-06,108.53
2023-07,108.83
2023-08,109.39
2023-09,109.7
2023-10,109.57
2023-11,109.41
2023-12,109.48
2024-01,109.84
2024-02,110.04
2024-03,110.33
2024-04,110.64
2024-05,110.56
2024-06,110.53
2024-07,110.68
2024-08,110.68
2024-09,110.83
2024-10,110.97
2024-11,110.64
2024-12,110.76
2025-01,110.88
2025-02,110.94
2025-03,111.0
2025-04,110.94
2025-05,110.95
2025-06,111.28
2025-07,111.23
2025-08,111.15
2025-09,111.44
2025-10,111.69
