date,value
1993-01-01,1067301.0
1993-02-01,1067301.0
1993-03-01,1067301.0
1993-04-01,1039924.0
1993-05-01,1039924.0
1993-06-01,1039924.0
1993-07-01,1086494.0
1993-08-01,1086494.0
1993-09-01,1086494.0
1993-10-01,1147308.0
1993-11-01,1147308.0
1993-12-01,1147308.0
1994-01-01,1179517.0
1994-02-01,1179517.0
1994-03-01,1179517.0
1994-04-01,1146232.0
1994-05-01,1146232.0
1994-06-01,1146232.0
1994-07-01,1135828.0
1994-08-01,1135828.0
1994-09-01,1135828.0
1994-10-01,1226603.0
1994-11-01,1226603.0
1994-12-01,1226603.0
1995-01-01,1265610.0
1995-02-01,1265610.0
1995-03-01,1265610.0
1995-04-01,1256367.0
1995-05-01,1256367.0
1995-06-01,1256367.0
1995-07-01,1231962.0
1995-08-01,1231962.0
1995-09-01,1231962.0
1995-10-01,1314936.0
1995-11-01,1314936.0
1995-12-01,1314936.0
1996-01-01,1313862.0
1996-02-01,1313862.0
1996-03-01,1313862.0
1996-04-01,1336374.0
1996-05-01,1336374.0
1996-06-01,1336374.0
1996-07-01,1323012.0
1996-08-01,1323012.0
1996-09-01,1323012.0
1996-10-01,1382117.0
1996-11-01,1382117.0
1996-12-01,1382117.0
1997-01-01,1318993.0
1997-02-01,1318993.0
1997-03-01,1318993.0
1997-04-01,1309139.0
1997-05-01,1309139.0
1997-06-01,1309139.0
1997-07-01,1282881.0
1997-08-01,1282881.0
1997-09-01,1282881.0
1997-10-01,1296888.0
1997-11-01,1296888.0
1997-12-01,1296888.0
1998-01-01,1244216.0
1998-02-01,1244216.0
1998-03-01,1244216.0
1998-04-01,1145060.0
1998-05-01,1145060.0
1998-06-01,1145060.0
1998-07-01,1155997.0
1998-08-01,1155997.0
1998-09-01,1155997.0
1998-10-01,1265055.0
1998-11-01,1265055.0
1998-12-01,1265055.0
1999-01-01,1259716.0
1999-02-01,1259716.0
1999-03-01,1259716.0
1999-04-01,1206997.0
1999-05-01,1206997.0
1999-06-01,1206997.0
1999-07-01,1246015.0
1999-08-01,1246015.0
1999-09-01,1246015.0
1999-10-01,1317543.0
1999-11-01,1317543.0
1999-12-01,1317543.0
2000-01-01,1346757.0
2000-02-01,1346757.0
2000-03-01,1346757.0
2000-04-01,1279194.0
2000-05-01,1279194.0
2000-06-01,1279194.0
2000-07-01,1276273.0
2000-08-01,1276273.0
2000-09-01,1276273.0
2000-10-01,1352158.0
2000-11-01,1352158.0
2000-12-01,1352158.0
2001-01-01,1378078.0
2001-02-01,1378078.0
2001-03-01,1378078.0
2001-04-01,1326723.0
2001-05-01,1326723.0
