date,value
2000-01,57.35
2000-02,57.12
2000-03,57.57
2000-04,57.65
2000-05,57.5
2000-06,57.8
2000-07,57.95
2000-08,57.95
2000-09,58.1
2000-10,58.18
2000-11,58.4
2000-12,58.48
2001-01,58.55
2001-02,58.33
2001-03,58.63
2001-04,58.1
2001-05,58.33
2001-06,58.18
2001-07,58.18
2001-08,58.1
2001-09,58.03
2001-10,57.8
2001-11,57.65
2001-12,57.57
2002-01,58.18
2002-02,58.1
2002-03,58.1
2002-04,57.95
2002-05,58.4
2002-06,58.55
2002-07,58.7
2002-08,58.55
2002-09,58.85
2002-10,59.01
2002-11,59.08
2002-12,58.85
2003-01,59.83
2003-02,60.29
2003-03,60.59
2003-04,60.44
2003-05,60.21
2003-06,60.14
2003-07,60.29
2003-08,60.59
2003-09,62.47
2003-10,60.96
2003-11,61.19
2003-12,61.27
2004-01,61.87
2004-02,61.94
2004-03,62.47
2004-04,62.47
2004-05,62.85
2004-06,62.85
2004-07,63.3
2004-08,63.6
2004-09,63.98
2004-10,64.36
2004-11,64.28
2004-12,64.51
2005-01,64.96
2005-02,65.03
2005-03,65.79
2005-04,66.24
2005-05,66.09
2005-06,66.77
2005-07,67.75
2005-08,68.65
2005-09,69.03
2005-10,68.8
2005-11,68.27
2005-12,68.73
2006-01,69.03
2006-02,69.25
2006-03,69.78
2006-04,70.91
2006-05,71.89
2006-06,72.12
2006-07,72.8
2006-08,73.47
2006-09,73.17
2006-10,71.74
2006-11,71.97
2006-12,72.12
2007-01,71.29
2007-02,71.74
2007-03,72.12
2007-04,73.62
2007-05,74.15
2007-06,74.45
2007-07,75.89
2007-08,76.04
2007-09,76.56
2007-10,77.92
2007-11,79.73
2007-12,80.78
2008-01,81.84
2008-02,82.82
2008-03,84.02
2008-04,85.61
2008-05,87.04
2008-06,88.92
2008-07,90.35
2008-08,88.62
2008-09,85.98
2008-10,83.27
2008-11,81.16
2008-12,78.9
2009-01,77.27
2009-02,76.6
2009-03,77.05
2009-04,77.85
2009-05,79.6
2009-06,81.76
2009-07,81.65
2009-08,83.34
2009-09,83.45
2009-10,84.19
2009-11,85.25
2009-12,85.83
2010-01,85.91
2010-02,85.87
2010-03,86.38
2010-04,87.61
2010-05,87.59
2010-06,87.33
2010-07,87.6
2010-08,88.56
2010-09,88.96
2010-10,90.34
2010-11,91.07
2010-12,92.36
2011-01,93.25
2011-02,94.49
2011-03,96.17
2011-04,98.04
2011-05,98.65
2011-06,98.39
2011-07,99.22
2011-08,99.75
2011-09,99.33
2011-10,99.36
2011-11,99.6
2011-12,99.47
2012-01,99.94
2012-02,100.87
2012-03,101.21
2012-04,101.38
2012-05,100.78
2012-06,99.21
2012-07,99.27
2012-08,99.28
2012-09,99.81
2012-10,99.58
2012-11,99.51
2012-12,98.89
2013-01,98.77
2013-02,98.9
2013-03,98.79
2013-04,98.21
2013-05,97.36
2013-06,96.84
2013-07,96.66
2013-08,97.51
2013-09,97.85
2013-10,98.23
2013-11,97.95
2013-12,97.62
2014-01,98.18
2014-02,98.2
2014-03,98.13
2014-04,97.79
2014-05,97.75
2014-06,98.03
2014-07,98.25
2014-08,97.97
2014-09,96.53
2014-10,95.46
2014-11,93.24
2014-12,91.1
2015-01,88.6
2015-02,88.47
2015-03,87.85
2015-04,88.66
2015-05,89.41
2015-06,89.71
2015-07,88.68
2015-08,86.76
2015-09,85.51
2015-10,85.27
2015-11,83.7
