date,value
1/2/1997,803.13
1/3/1997,787.47
1/6/1997,790.23
1/7/1997,820.11
1/8/1997,831.93
1/9/1997,843.22
1/10/1997,840.5
1/13/1997,822.89
1/14/1997,807.67
1/15/1997,828.91
1/16/1997,822.57
1/17/1997,832.55
1/20/1997,841.03
1/21/1997,854.18
1/22/1997,858.97
1/23/1997,849.17
1/24/1997,848.56
1/27/1997,840.42
1/28/1997,842.63
1/29/1997,814.39
1/30/1997,820.18
1/31/1997,788.04
2/3/1997,761.63
2/4/1997,765.42
2/5/1997,744.59
2/6/1997,749.14
2/7/1997,747.76
2/10/1997,737.23
2/11/1997,733.99
2/12/1997,722.57
2/13/1997,698.06
2/14/1997,713.48
2/17/1997,708.2
2/18/1997,700.15
2/19/1997,731.74
2/20/1997,747.7
2/24/1997,742.08
2/25/1997,739.75
2/26/1997,739.82
2/27/1997,726.01
2/28/1997,727.56
3/3/1997,707.24
3/4/1997,688.74
3/5/1997,683.72
3/6/1997,676.65
3/7/1997,691.45
3/10/1997,703.32
3/11/1997,719.95
3/12/1997,720.27
3/13/1997,716.68
3/14/1997,694.91
3/17/1997,686.92
3/18/1997,693.87
3/19/1997,700.62
3/20/1997,703.09
3/21/1997,702.1
3/24/1997,713.85
3/25/1997,710.68
3/26/1997,714.29
3/27/1997,712.61
3/28/1997,709.09
3/31/1997,705.43
4/1/1997,694.74
4/2/1997,716.64
4/3/1997,706.01
4/4/1997,714.09
4/8/1997,715.36
4/9/1997,712.63
4/10/1997,715.33
4/11/1997,713.62
4/16/1997,716.89
4/17/1997,701.76
4/18/1997,700.23
4/21/1997,694.21
4/22/1997,691.16
4/23/1997,689.79
4/24/1997,688.42
4/25/1997,684
4/28/1997,672.48
4/29/1997,658.59
4/30/1997,661.29
5/2/1997,660.1
5/6/1997,643.28
5/7/1997,626.57
5/8/1997,614.06
5/9/1997,605.43
5/12/1997,592.18
5/13/1997,600.24
5/14/1997,571.3
5/15/1997,557.87
5/16/1997,561.19
5/19/1997,577.1
5/21/1997,596.19
5/22/1997,581.39
5/23/1997,581.13
5/26/1997,568.36
5/27/1997,569.84
5/28/1997,562.83
5/29/1997,558.17
5/30/1997,566.39
6/2/1997,563.35
6/3/1997,556.57
6/4/1997,552.87
6/5/1997,548.05
6/6/1997,530.62
