date,value
2015-01,2613.7
2015-02,2664.22
2015-03,2555.36
2015-04,2406.73
2015-05,2301.63
2015-06,2269.52
2015-07,2641.51
2015-08,2589.65
2015-09,2044.66
2015-10,2245.84
2015-11,2566.08
2015-12,3024.29
2016-01,2996.44
2016-02,3080.54
2016-03,2927.23
2016-04,2627.81
2016-05,2459.09
2016-06,2423
2016-07,2949.1
2016-08,2883.59
2016-09,2416.82
2016-10,2252.78
2016-11,2452.46
2016-12,3060.74
2017-01,3197.05
2017-02,2966.52
2017-03,3018.41
2017-04,2853.29
2017-05,2600.62
2017-06,2731.07
2017-07,3099.41
2017-08,3188.15
2017-09,2600.28
2017-10,2725.94
2017-11,3039.57
2017-12,3571.66
2018-01,3531.48
2018-02,3552.12
2018-03,3494.65
2018-04,3096.07
2018-05,2737.83
2018-06,3013.3
2018-07,3177.09
2018-08,3229.03
2018-09,2636.12
2018-10,2704
2018-11,3171
2018-12,3835.51
2019-01,3713.17
2019-02,3600.92
2019-03,3478.69
2019-04,3216.93
2019-05,2736.6
2019-06,3056.7
2019-07,3342.75
2019-08,3472.66
2019-09,2890.04
2019-10,3074.1
2019-11,3386.37
2019-12,3947.34
2020-01,3810.16
2020-02,2061.99
2020-03,819.43
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,1.2
2020-11,3.07
2020-12,6.56
2021-01,7.69
2021-02,5.74
2021-03,6.74
2021-04,8.53
2021-05,6.05
2021-06,5.69
2021-07,18.06
2021-08,15.11
2021-09,12.24
2021-10,20.27
2021-11,91.26
2021-12,230.5
2022-01,128.22
2022-02,151.79
2022-03,208.1
2022-04,287.51
2022-05,508.18
2022-06,768.97
2022-07,1134.93
2022-08,1188.22
2022-09,1259.27
2022-10,1467.37
2022-11,1721.49
2022-12,2241.18
2023-01,2144.95
2023-02,2113.55
2023-03,2269.73
2023-04,2182.1
2023-05,2013.85
2023-06,2241.2
2023-07,2490.64
2023-08,2468.04
2023-09,2130.6
2023-10,2197.02
2023-11,2637.08
2023-12,3261.26
2024-01,3035.3
2024-02,3352.3
2024-03,2982.72
2024-04,2757.13
2024-05,2633.46
2024-06,2740.37
2024-07,3103.42
2024-08,2963.15
2024-09,2521.01
2024-10,2679.18
2024-11,3150.24
2024-12,3627.44
2025-01,3709.1
2025-02,3119.45
2025-03,2720.46
2025-04,2547.12
2025-05,2266.57
2025-06,2322.77
2025-07,2610.37
2025-08,2583.64
2025-09,2235.85
2025-10,2573.74
